,Unnamed: 0,fullname,id,likes,replies,retweets,text,timestamp,user,date,time,pos,neg,neu,comp
0,0,Mayray,919720223053438976,0,0,0, pakistanning: reservoirdogs: My brother is in Malala’s course in oxford and he just sent me this from... https://tmblr.co/Z6SUQu2R10Lm5 ,2017-10-16T00:22:43,MsMayray,2017-10-16,00:22:43,0.0,0.0,1.0,0.0
1,1,julia,919724051513430019,1,0,1,mano a malala yousafzai no group chat do curso dela em oxford eu to !!!!!!! amei pic.twitter.com/VWtQJf2y7e,2017-10-16T00:37:56,juwlwia,2017-10-16,00:37:56,0.0,0.183,0.817,-0.5216
2,2,London Economy,919741729133096962,0,0,0,Malala Yousafzai attends Oxford University matriculation ceremony http://www.telegraph.co.uk/education/2017/10/14/malala-yousafzai-attends-oxford-university-matriculation-ceremony/ …,2017-10-16T01:48:10,London_Economy,2017-10-16,01:48:10,0.0,0.0,1.0,0.0
3,3,Aamu,919745929296695296,1,0,0,Malala just wore jeans and people are losing their shit! Koi haal nahi hamari awaam ka. ,2017-10-16T02:04:52,aamna_tweets,2017-10-16,02:04:52,0.0,0.317,0.683,-0.7574
4,4,zishan tahir,919747563368210438,0,0,0,Great malala yousaf zai changed her look in oxford... pic.twitter.com/ByrO2Rpw5y,2017-10-16T02:11:21,zishanadv,2017-10-16,02:11:21,0.313,0.0,0.687,0.6249
5,5,ilhan,919758295166078976,13,0,5,"y are misogynists coming for malala because she wore jeans, home girl has a nobel peace prize and goes to oxford, what did your bum ass do?",2017-10-16T02:54:00,uhhilhan,2017-10-16,02:54:00,0.211,0.108,0.681,0.5106
6,6,EducationCollective,919762431592812545,0,0,0,Telegraph Opinion: Malala Yousafzai attends Oxford University matriculation ceremony http://edcol.org?l=4B97edcol.org/?l=4B97 ,2017-10-16T03:10:26,EducationCol,2017-10-16,03:10:26,0.0,0.0,1.0,0.0
7,7,Karen Chestney,919781402106720256,1,0,0,"Malala Yousafzai nearly died for girls’ education. Today, she started at Oxford. https://www.huffingtonpost.com/entry/malala-yousafzai-oxford-university_us_59db9a7ce4b0b34afa5b1c0a?ncid=engmodushpmg00000004 … via @HuffPost",2017-10-16T04:25:49,KarenChestney,2017-10-16,04:25:49,0.0,0.205,0.795,-0.5574
8,8,Venise Alstergren,919781783100538880,0,0,0,Just to wish you every possible success with your studies at Oxford.,2017-10-16T04:27:20,Venisejb,2017-10-16,04:27:20,0.39,0.0,0.61,0.7506
9,9,Pakistan Media Watch,919784955957440512,21,4,11,"Express newspaper blasts @Malala for wearing jeans after going to Oxford University, portrays it as a major sin #journalismpic.twitter.com/skEvO6KV71",2017-10-16T04:39:56,PakPressWatch,2017-10-16,04:39:56,0.0,0.175,0.825,-0.5574
